t,f_05,f_1,f_2,f_5,f_10,f_20,f_50
0.0340681362725451,113394.619087864,56691.2540575314,28239.8240363059,11269.8306784682,5522.16849892169,2888.24164285581,997.451100075953
0.0344689378757515,114979.745722397,57414.9649319987,28705.9785751325,11356.9970698113,5616.26163121007,2930.84319989169,1054.08192772969
0.0348697394789579,116455.109046644,58188.8653760275,29088.8244984364,11547.9596492501,5658.01624842932,2933.84731625945,1078.99642146962
0.0352705410821643,118123.889484754,59031.4376540774,29468.4499154418,11775.3939746608,5775.90646767377,2983.88019361882,1111.46030830624
0.0356713426853707,119690.608158604,59799.2268662958,29841.728591625,11887.0556528083,5882.29317232138,3111.26338695933,1075.92496909222
0.0360721442885772,121598.218647362,60569.5733706062,30187.4181400723,11984.4544001384,5883.17970115401,3033.1931645216,1082.97578143893
0.0364729458917836,126313.275599694,63002.0581800556,31370.4573629898,12295.690089725,6060.74937110538,3157.43814085997,1131.58601244941
0.03687374749499,127658.505823621,63758.4258644109,31816.8283155838,12635.8444174141,6183.20528291055,3217.39237845697,1191.92134610026
0.0372745490981964,128820.063605843,64403.8110761369,32181.3903625233,12771.3458914542,6317.53945453181,3298.53756638945,1148.5365162337
0.0376753507014028,130062.626531928,64965.5455355438,32427.2291266162,12940.6691589882,6381.6230899758,3233.11615664585,1178.62880865698
0.0380761523046092,131312.253042648,65638.3856359717,32699.1179072628,13062.3656759537,6439.12689412125,3292.44635592041,1242.52405728807
0.0384769539078156,132584.797396576,66216.6775328786,33043.4498201924,13103.2715676315,6551.27122740992,3359.94232206166,1196.47058823529
0.0388777555110221,133801.650979696,66794.5184463077,33369.4676054862,13299.9476662457,6619.08451491,3345.97331957525,1214.70461715971
0.0392785571142285,135018.50704949,67418.2017439552,33711.8273065688,13405.6950048999,6682.84948061046,3417.60941620529,1293.89191472482
0.0396793587174349,136325.942826767,68054.8714228792,34000.3311695061,13494.3568356768,6658.89797827885,3384.42475247347,1295.21531964776
0.0400801603206413,137552.3547475,68731.0502154756,34324.2994207248,13701.2455155916,6757.94061087685,3501.73919754222,1241.28732738731
0.0404809619238477,138823.962390511,69354.8868985708,34600.8790430346,13741.2795255463,6836.62962891433,3511.30714808861,1264.51306007704
0.0408817635270541,140064.929764,69956.3366093756,34899.0346777274,13940.3742759788,6935.48327475614,3499.94488033091,1379.68988578061
0.0412825651302605,141376.747421881,70647.9889066149,35268.2603678235,14017.0000623168,6952.2635887704,3589.68068224988,1373.33627794114
0.0416833667334669,142667.872573236,71233.4220931362,35580.820064033,14190.5716928151,6987.99179550946,3577.16410350883,1301.98473182756
0.0420841683366733,143873.45254615,71833.8047872159,35839.0439712337,14224.7199054121,7095.50030540666,3633.16703003494,1307.6805858424
0.0424849699398798,145134.461311476,72487.9215488799,36235.1269871522,14455.0139881516,7178.45128112145,3722.75871001412,1388.72793732949
0.0428857715430862,146402.901815132,73100.1440097312,36481.8861811974,14527.2039700919,7219.90919988624,3677.33128581999,1367.83125691361
0.0432865731462926,147669.151775909,73736.6865103583,36864.2762345037,14677.567565012,7237.94945097692,3715.84763151817,1372.44761250976
0.043687374749499,148888.762483442,74378.3067301835,37117.7050124482,14800.492125215,7377.88844621524,3795.3006526381,1395.57425840945
0.0440881763527054,150568.256064583,75214.8476645104,37501.7192453899,14908.5646912157,7446.33194163302,3778.1677673696,1395.88235294117
0.0444889779559118,152289.913248108,76013.5051563505,38012.4763995693,15144.0538339847,7441.42049778698,3838.39784116026,1445.61306196842
0.0448897795591182,153931.895087733,76901.3201248736,38426.5927977862,15310.9331412439,7591.21784363139,3941.08265796685,1418.51627984774
0.0452905811623247,155734.645843453,77786.1556675935,38830.2049330895,15421.2538143568,7663.36199106976,3901.35594482249,1399.25987823234
0.0456913827655311,157393.994763811,78651.7350797382,39238.580690514,15631.6321626017,7757.83584309336,3919.73779056038,1450.40868685671
0.0460921843687375,159147.533378401,79549.7079194943,39655.2048657582,15841.8712449014,7917.38443524435,4043.29434370415,1499.0902491181
0.0464929859719439,160921.891273528,80355.0413931052,40114.5949487085,15979.4536007199,7902.3200837378,4036.96093540749,1441.46508286761
0.0468937875751503,162607.219718207,81266.7333475976,40600.0907038677,16178.8739398234,7996.77421881634,3999.19030304977,1458.62710715044
0.0472945891783567,164173.823814601,82071.105114958,41005.6994522628,16333.0933507858,8069.50886846944,4074.0498625025,1557.85326512891
0.0476953907815631,165308.749276854,82623.7968246613,41272.727382316,16417.3458277936,8179.66359295435,4151.67228524458,1541.33851617256
0.0480961923847695,166997.125249093,83466.3987918948,41651.2547379012,16621.5819863369,8290.05821406418,4132.79819485561,1495.40034248694
0.048496993987976,168685.463704251,84285.6441455871,42140.2151261917,16786.8875387085,8348.32974490768,4120.35961512704,1579.25473762088
0.0488977955911824,170421.564587765,85163.70197363,42490.5974296164,16906.9811620888,8431.5121224301,4151.06242510231,1593.54666799915
0.0492985971943888,172052.375636967,85985.604258047,42975.7790490171,17086.6756180654,8484.16328330342,4201.88259171162,1559.45140308596
0.0496993987975952,173787.275727613,86808.3427424558,43327.000581844,17262.7721442566,8575.86533857754,4076.96263954486,1589.16303146203
0.0501002004008016,175436.185674318,87673.9972443733,43777.2446224263,17439.4028685387,8625.11612198431,4058.25136327071,1604.62745983201
0.050501002004008,177061.020993622,88465.0595466135,44215.0412732421,17619.9969027234,8756.65090487094,4090.64220294281,1677.23519350738
0.0509018036072144,178758.427376881,89312.6541877201,44604.323531016,17784.4248061642,8800.94365484873,4142.80852217123,1617.86103961882
0.0513026052104208,180432.331970391,90150.5904071814,45031.1634349086,17928.8451630937,8906.0608376754,4191.93516517961,1642.7572071633
0.0517034068136273,182104.261080451,90980.391874768,45430.9628267726,18138.9335287175,8973.10756972106,4193.56343047343,1645.63085235615
0.0521042084168337,183764.434600483,91787.5911243715,45877.1794213948,18279.702394645,9076.86438638653,4223.11577800108,1689.88946877774
0.0525050100200401,185455.885151351,92642.9886185952,46268.372878794,18430.6479254432,9166.7147513943,4279.99112820691,1666.07771040528
0.0529058116232465,187141.128229363,93559.4082760102,46660.0628494935,18589.5119627821,9203.72984888829,4311.8733747572,1750.43288649075
0.0533066132264529,188825.939212856,94342.8628789173,47107.2388222538,18774.8333056353,9327.65816581771,4374.37997185881,1711.52501338587
0.0537074148296593,190540.967053844,95208.1666102574,47550.255891985,18960.4997424742,9384.25127181025,4395.29927711708,1729.33650566374
0.0541082164328657,191795.166119239,95890.0709051861,47843.2794116919,19053.3121999508,9435.20940359136,4417.24860581567,1789.32369458151
0.0545090180360722,193082.563783035,96479.394268194,48196.5139367398,19210.3341922306,9557.37645344567,4465.4939345658,1746.68379651089
0.0549098196392786,194337.669523692,97065.8259033089,48494.450874507,19281.2376932832,9611.61771517006,4521.63004374493,1813.22735518356
0.055310621242485,195478.654073833,97680.0549666951,48760.9592253826,19453.6191983017,9653.26107708342,4564.52284413771,1794.70588235293
0.0557114228456914,196635.01925192,98298.8610931669,49052.9512548393,19546.5254504887,9694.68237958399,4576.40015034209,1836.2089319655
0.0561122244488978,197801.682717002,98864.5711659363,49346.4029285714,19678.7153069629,9765.03612817564,4656.20398956097,1822.60331812462
0.0565130260521042,198931.796681835,99399.3976265318,49663.1232727266,19819.1685342786,9865.06031249402,4706.59508812763,1816.07569223168
0.0569138276553106,200001.249844345,99940.6342715639,49951.1967523922,19886.9635651879,9936.69848775089,4717.76987417294,1890.44984995377
0.057314629258517,201576.448780458,100517.954742181,50179.8860721312,19993.3100969716,9970.37162560363,4752.51209554983,1841.91299305003
0.0577154308617234,202549.063234917,101250.984281212,50583.302093461,20187.9141628541,9986.52906785585,4776.44060583112,1889.74475802421
0.0581162324649299,203215.751551587,101585.882146727,50722.1284361738,20226.7256938352,10036.3686124394,4844.17620465507,1933.47971133611
0.0585170340681363,203971.339902245,101964.533947107,50932.3083109407,20286.7819625855,10089.7183733451,4909.33466279202,1864.00263580171
0.0589178356713427,204772.836114022,102352.468131802,51096.9491495078,20403.29626888,10159.9420378931,4981.24090412599,1955.9803473506
0.0593186372745491,205600.310648699,102722.134297762,51323.7164063344,20501.081973611,10184.948501212,4989.8209263633,1907.73799072065
